id,fico_range_low,annual_inc,dti,home_ownership,revol_util,inq_last_6mths,purpose,python_score
68407277,675.0,55000.0,5.91,MORTGAGE,29.7,1.0,debt_consolidation,544.990545
68355089,715.0,65000.0,16.06,MORTGAGE,19.2,4.0,small_business,540.025151
68426831,690.0,34000.0,10.2,RENT,68.4,0.0,debt_consolidation,537.422646
68476668,680.0,180000.0,14.67,MORTGAGE,84.5,0.0,debt_consolidation,558.078851
67275481,705.0,85000.0,17.61,MORTGAGE,5.7,0.0,major_purchase,569.87567
68466926,685.0,85000.0,13.07,RENT,34.5,1.0,credit_card,550.97675
68525388,670.0,50000.0,25.58,OWN,,0.0,home_improvement,539.400027
68384400,720.0,370000.0,7.09,MORTGAGE,,1.0,debt_consolidation,569.149625
68583124,675.0,44800.0,21.06,MORTGAGE,,0.0,debt_consolidation,538.625201
68616873,700.0,42000.0,34.8,MORTGAGE,39.1,0.0,credit_card,549.078014
68338832,700.0,64000.0,34.95,MORTGAGE,67.2,0.0,other,538.428585
68466961,720.0,92000.0,21.6,MORTGAGE,64.5,0.0,debt_consolidation,563.583874
